l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 flavor_mal.40.c:0 "I prefer the classic route though."
 flavor_mal.40.c.tt:0 "[Root.Monarch.GetName] will take the traditional route to Mecca instead."
 GREAT_PILGRIMAGE:0 "Велике паломництво"
 GREAT_TOUR:0 "Гранд-тур"
 flavor_mal.41.t:0 "[Root.GetMaliPigrimageTour]"
 mal_visiting_foreign_regional_power:1 "\n\nThe group eventually visited the wondrous city [selected_biggest_country_of_region.Capital.GetName], the capital of [selected_biggest_country_of_region.GetName]. The [selected_biggest_country_of_region.Culture.GetName] attracted the attention of the travelling group and their hospitality impressed the closest of [Root.Monarch.GetName] so much, that they suggested to donate some of our splendid gold to the [selected_biggest_country_of_region.Monarch.GetTitle] of [selected_biggest_country_of_region.GetName]."
 flavor_mal.41.mansa.maghreb:0 "After a long journey through the hot Sahara, our [Root.Monarch.GetTitle] and [Root.Monarch.GetHerHis] closest companions arrived in the mountainous region of Maghreb. [Root.Monarch.GetName] spent [Root.Monarch.GetHerHis] time visiting the grand fortified city of Aït Benhaddou in Demnate. [Root.GetSheHeCap] learned of the great Maghrebi cultures and bought several readings - the most important one being the writings of Ibn Sa'id al-Maghribi.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.iberia:1 "The pilgrimage continues and [Root.Monarch.GetName]'s group arrived later in the peninsula Iberia, home of the fallen Sultanate of Andalusia. The travelers gazed upon the beauty of Alhambra. Although the Christians in Iberia are very religious and do not trust our kind, they tolerated our presence when the [Root.Monarch.GetTitle] explained to them [Root.Monarch.GetHerHis] situation. Of course the gold we have brought helped too...[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.france:1 "[Root.Monarch.GetTitle] [Root.Monarch.GetName] and [Root.Monarch.GetHerHis] companions entered France, a region which is home to many crusaders, who tried to wage wars against the Muslim world. But today, no sword will be swung as the travelling [Root.Monarch.GetTitle] proclaimed [Root.Monarch.GetHerHis] peaceful intentions of pilgrimage to the people. The French welcomed the wise [Root.Monarch.GetTitle], and, as a sign of hospitality, even allowed [Root.Monarch.GetHerHim] entry into their impressive cathedral - the Notre-Dame.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.italy:0 "The [Root.Monarch.GetTitle] eventually arrived in Italy. [Root.GetSheHeCap] and [Root.Monarch.GetHerHis] subjects sought for an audience with the great Pope, the head of the Christian faith, but even [Root.GetAdjective] gold couldn't convince the holy man to meet with [Root.Monarch.GetName]. Despite that, the stay in Italy gave the [Root.Monarch.GetTitle] great insight of the Christian beliefs.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.south_germany:1 "Despite the extreme altitudes and the harsh weather conditions, [Root.Monarch.GetName]'s group managed to pass the Alps and found themselves in the lands of the infamous Holy Roman Empire. The state of this empire reminded the [Root.Monarch.GetTitle] of the state our great [Root.GovernmentName] had to suffer in the past. [Root.GetSheHeCap] sympathizes with the [Emperor.Monarch.GetTitle], and sent [Emperor.Monarch.GetHerHis] best wishes for overcoming the internal struggles of this declining Empire.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.balkans:0 "The journey through the Balkans was one of cultural diversity: South Slavic, Italian, Greeks and finally the Ottoman Turks - all in one region. Ultimately, [Root.Monarch.GetName] stood before the great Hagia Sophia in [151.GetName], gazing upon its magnificence.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.anatolia:0 "The home of Ottoman Turk, the beautiful lands of Anatolia. By entering this region, [Root.Monarch.GetName]'s group has returned to the Muslim world and the pilgrimage is nearining its end.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.mashriq:0 "After traversing Anatolia, the [Root.Monarch.GetTitle] found [Root.Monarch.GetHerselfHimself] in the deserts of Mashriq. On their way to Egypt, [Root.Monarch.GetName] and [Root.Monarch.GetHerHis] followers reached the Holy City of Jerusalem, a center of great religious importance to Jews, Christians and Muslims alike, and spent hours praying.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.egypt:0 "Egypt is no foreign region for the [Root.Monarch.GetTitle]s of [Root.GetName]. Many of our ancestors gazed upon the great Pyramid of Cheops. As such it is only natural that [Root.Monarch.GetName] visited the Pyramid too.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.arabia:0 "After so many years of travelling, the great and wise [Root.Monarch.GetTitle] and the closest of [Root.Monarch.GetHerHis] followers finally arrived at the holiest of all cities: [385.GetName]! The residents of the city still remember the last [Root.GetAdjective] pilgrimage, and as such welcomed [Root.Monarch.GetName] with open arms.\nThe next two weeks were spent in the city by praying and documenting the experiences the [Root.Monarch.GetTitle] made during the pilgrimage. [Root.GetSheHe] decided to leave a farewell gift for the people of [385.GetName] before returning home.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.horn_of_africa:1 "Although the way back home is very well known to the group, [Root.Monarch.GetName] decided to take an alternative route home. By travelling the strait of [1330.GetName], [Root.GetSheHe] and [Root.Monarch.GetHerHis] companions found the realm of the one who was called the home of "Prester John".[Root.GetMaliRegionalCapital]"
 flavor_mal.41.mansa.home:0 "Over five years ago the great [Root.Monarch.GetTitle] [Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName] started [Root.Monarch.GetHerHis] pilgrimage to [385.GetName]. However, the bold decision was made that the route should go through Europe instead of taking the fastest way, allowing the [Root.Monarch.GetTitle] to see and witness things [Root.GetSheHe] would never have seen.\nAfter such a long time, [Root.Monarch.GetName] has finally returned to [Root.Capital.GetName]!"
 flavor_mal.41.advisor.maghreb:0 "After a long journey through the hot Sahara, the three advisors arrived in the mountainous region of Maghreb. They spent their time by visiting the grand fortified city of Aït Benhaddou in Demnate. The three learned of the great Maghrebi cultures and bought several readings - the most important one being the writings of Ibn Sa'id al-Maghribi.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.iberia:1 "The pilgrimage continues and the advisor group arrived later in the peninsula Iberia, home of the fallen Sultanate of Andalusia. The travelers gazed upon the beauty of Alhambra. Although the Christians in Iberia are very religious and do not trust our kind, they tolerated our presence when the three pilgrims explained to them their situation. Of course the gold we have brought helped too...[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.france:0 "The advisors entered France, a region which is home to many crusaders, who tried to wage wars against the Muslim world. But today, no sword will be swung as the travelling group proclaimed their peaceful intentions of pilgrimage to the people. The French welcomed the three scholars, and, as a sign of hospitality, even allowed them entry into their impressive cathedral - the Notre-Dame.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.italy:0 "The group eventually arrived in Italy. The three pilgrims sought for an audience with the great Pope, the head of the Christian faith, but even [Root.GetAdjective] gold couldn't convince the holy man to meet with the three men. Despite that, the stay in Italy gave them great insight of the Christian beliefs.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.south_germany:1 "Despite the extreme altitudes and the harsh weather conditions, the advisor group managed to pass the Alps and found themselves in the lands of the infamous Holy Roman Empire. The state of this empire reminded them of the state our great [Root.GovernmentName] had to suffer in the past. They sympathize with the [Emperor.Monarch.GetTitle], and sent [Emperor.Monarch.GetHerHis] best wishes for overcoming the internal struggles of this declining Empire.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.balkans:0 "The journey through the Balkans was one of cultural diversity: South Slavic, Italian, Greeks and finally the Ottoman Turks - all in one region. Ultimately, the three scholars stood before the great Hagia Sophia in [151.GetName], gazing upon its magnificence.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.anatolia:1 "The home of Ottoman Turk, the beautiful lands of Anatolia. By entering this region, the group has returned to the Muslim world and the pilgrimage is nearining its end.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.mashriq:0 "After traversing Anatolia, the three pilgrims found themselves in the deserts of Mashriq. On their way to Egypt, they reached the Holy City of Jerusalem, a center of great religious importance to Jews, Christians and Muslims alike, and spent hours praying.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.egypt:0 "Egypt is no foreign region for the [Root.Monarch.GetTitle]s of [Root.GetName]. Many of our ancestors gazed upon the great Pyramid of Cheops. As such it is only natural that the three adventurers visited the Pyramid too.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.arabia:0 "After so many years of travelling, the three sages finally arrived at the holiest of all cities: [385.GetName]! The residents of the city still remember the last [Root.GetAdjective] pilgrimage, and as such welcomed the men with open arms.\nThe next two weeks were spent in the city by praying and documenting the experiences the former advisors made during the pilgrimage. They decided to leave a farewell gift for the people of [385.GetName] before returning home.[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.horn_of_africa:1 "Although the way back home is very well known to the group, the men decided to take an alternative route home. By travelling the strait of [1330.GetName], the three found the realm of the one who was called the home of "Prester John".[Root.GetMaliRegionalCapital]"
 flavor_mal.41.advisor.home:0 "Over five years ago three great advisors of the great [Root.Monarch.GetTitle] [Root.Monarch.GetName] [Root.Monarch.Dynasty.GetName] started pilgrimage to [385.GetName] on behalf of their [Root.Monarch.GetTitle]. However, the bold decision was made that the route should go through Europe instead of taking the fastest way, allowing these men to see and witness things [Root.GetSheHe] would never have seen.\nAfter such a long time, they have finally returned to [Root.Capital.GetName]! Although the pilgrimage left them unable to be assigned their work as advisors, their wisdom shall enlighten [Root.Monarch.GetName]!"
 flavor_mal.41.a:0 "The people of [selected_biggest_country_of_region.GetName] certainly deserve a big donation!"
 flavor_mal.41.a.tt:1 "[Root.GetName] will donate gold to [selected_biggest_country_of_region.GetName].\nThe donation contains §R[Root.mal_money_to_give_tt.GetValue]§! Ducats for [selected_biggest_country_of_region.GetName]. If they accept, the Inflation of [selected_biggest_country_of_region.GetName] will increase by §R[Root.trade_income_variable_tt.GetValue]§!, but their buildings, great projects, army and navy costs will be reduced by §G25.0%§! for §Y5 years§!.\n\nDue to influx of [Root.GetAdjective] gold, every country with their capital in [selected_biggest_country_of_region.Capital.GetRegionName] отримує модифікатор '§YGold of Mali§!' for §Y5 years§!, що призведе до таких ефектів:\nЗниження інфляції за рік: §R-1.00§!"
