l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 COALITIONUS_5: "у коаліцію проти держави $TARGET$"
 COALITIONUS_6: "Гадаю, одна тільки думка про те, що вони хоча б якось пов'язані з нашою державою, дає їм відчути власну значимість."
 COALITIONUS_LOG: "Ми увійшли в коаліцію держави $ACTOR$ проти держави $TARGET$."
 COALITIONUS_BTN1: "Гаразд"
 COALITIONUS_BTN2: "Гаразд"
 COALITIONUS_BTN3: "Перейти"
 COALITIONUS_MAP: ""
 COALITIONOTHER_SETUP: "Держава пропонує інший увійти до їхньої коаліції"
 COALITIONOTHER_HEADER: "Вісник держави"
 COALITIONOTHER_1: "$ACTOR$"
 COALITIONOTHER_2: " повідомляє, що вони"
 COALITIONOTHER_3: "запропонували державі $RECIPIENT$"
 COALITIONOTHER_4: "увійти в коаліцію проти держави"
 COALITIONOTHER_5: "$TARGET$"
 COALITIONOTHER_6: ""
 COALITIONOTHER_LOG: "Держава $RECIPIENT$ увійшла в коаліцію держави $ACTOR$ проти держави $TARGET$."
 COALITIONOTHER_BTN1: "Гаразд"
 COALITIONOTHER_BTN2: "Гаразд"
 COALITIONOTHER_BTN3: "Перейти"
 COALITIONOTHER_MAP: ""
 COALITIONWE_SETUP: "Ми пропонуємо державі увійти в коаліцію з нами"
 COALITIONWE_HEADER: "$MESSENGER$"
 COALITIONWE_1: "Військова коаліція!"
 COALITIONWE_2: "$MONARCHTITLE$, держава"
 COALITIONWE_3: "$RECIPIENT$"
 COALITIONWE_4: " повинна бути щаслива від того, що ми вважаємо її гідною"
 COALITIONWE_5: "долучитися до нашої коаліції проти"
 COALITIONWE_6: "держави $TARGET$."
 COALITIONWE_LOG: "Держава $RECIPIENT$ приєдналася до нашої коаліції."
 COALITIONWE_BTN1: "Гаразд"
 COALITIONWE_BTN2: "Гаразд"
 COALITIONWE_BTN3: "Перейти"
 COALITIONWE_MAP: ""
 SUPPORTHEIR_TITLE: "Підтримка спадкоємця"
 SUPPORTHEIR_SETUP: "Коли нація почала підтримувати спадкоємця зі своєї династії в іншій державі."
 SUPPORTHEIR_HEADER: "Вісник держави"
 SUPPORTHEIR_1: "$ACTOR$"
 SUPPORTHEIR_2: "$MONARCHTITLE$, ми були інформовані, що дипломат держави $WHO$"
 SUPPORTHEIR_3: "тепер підтримує їхнього кандидата"
 SUPPORTHEIR_4: "на трон держави"
 SUPPORTHEIR_5: "$RECIPIENT$"
 SUPPORTHEIR_6: ""
 SUPPORTHEIR_LOG: "Держава $WHO$ послала дипломата підтримати свого кандидата на трон держави $RECIPIENT$."
 SUPPORTHEIR_BTN1: "Гаразд"
 SUPPORTHEIR_BTN2: "Гаразд"
 SUPPORTHEIR_BTN3: "Перейти"
 SUPPORTHEIR_MAP: ""
 STOPSUPPORTHEIR_TITLE: "Припинено підтримку спадкоємця"
 STOPSUPPORTHEIR_SETUP: "Коли нація припинила підтримувати свого спадкоємця в іншій державі."
 STOPSUPPORTHEIR_HEADER: "Вісник держави"
 STOPSUPPORTHEIR_1: "$ACTOR$"
 STOPSUPPORTHEIR_2: "$MONARCHTITLE$, ми були інформовані, що дипломат держави $WHO$,"
 STOPSUPPORTHEIR_3: "який підтримує їхнього кандидата"
 STOPSUPPORTHEIR_4: "на трон держави $RECIPIENT$"
 STOPSUPPORTHEIR_5: "був відкликаний"
 STOPSUPPORTHEIR_6: ""
 STOPSUPPORTHEIR_LOG: "Держава $WHO$ відкликала дипломата, що підтримує свого кандидата на трон держави $RECIPIENT$."
 STOPSUPPORTHEIR_BTN1: "Гаразд"
 STOPSUPPORTHEIR_BTN2: "Гаразд"
 STOPSUPPORTHEIR_BTN3: "Перейти"
 STOPSUPPORTHEIR_MAP: ""
 IMPROVERELATIONS_TITLE: "Поліпшення стосунків"
 IMPROVERELATIONS_SETUP: "Одна держава покращує стосунки з іншою"
 IMPROVERELATIONS_HEADER: "Вісник держави"
 IMPROVERELATIONS_1: "$ACTOR$"
 IMPROVERELATIONS_2: " повідомляє, що дипломати держави $WHO$ почали"
 IMPROVERELATIONS_3: "покращувати стосунки"
 IMPROVERELATIONS_4: "з державою"
 IMPROVERELATIONS_5: "$RECIPIENT$"
 IMPROVERELATIONS_6: "І їхні старання вже приносять плоди!"
 IMPROVERELATIONS_LOG: "Дипломати держави $WHO$ покращують стосунки з державою $RECIPIENT$."
 IMPROVERELATIONS_BTN1: "Гаразд"
 IMPROVERELATIONS_BTN2: "Гаразд"
 IMPROVERELATIONS_BTN3: "Перейти"
 IMPROVERELATIONS_MAP: ""
 STOPIMPROVERELATIONS_TITLE: "Припинено поліпшення стосунків"
 STOPIMPROVERELATIONS_SETUP: "Одна держава припиняє покращення стосунків з іншою"
 STOPIMPROVERELATIONS_HEADER: "$MESSENGER$"
 STOPIMPROVERELATIONS_1: "Відмова від зближення!"
 STOPIMPROVERELATIONS_2: "$MONARCHTITLE$, дипломати держави $WHO$ припинили зусилля"
 STOPIMPROVERELATIONS_3: " з покращення стосунків"
 STOPIMPROVERELATIONS_4: "з державою"
 STOPIMPROVERELATIONS_5: "$RECIPIENT$"
 STOPIMPROVERELATIONS_6: "Наслідки їхніх дій будуть зберігатися ще певний час."
 STOPIMPROVERELATIONS_LOG: "Держава $WHO$ відкликала своїх дипломатів, що покращували стосунки з державою $RECIPIENT$."
 STOPIMPROVERELATIONS_BTN1: "Гаразд"
 STOPIMPROVERELATIONS_BTN2: "Гаразд"
 STOPIMPROVERELATIONS_BTN3: "Перейти"
 STOPIMPROVERELATIONS_MAP: ""
 STOPIMPROVERELATIONSMAXOPINIONUS_TITLE: "Припинено поліпшення стосунків"
 STOPIMPROVERELATIONSMAXOPINIONUS_SETUP: "Коли ми припиняємо покращувати стосунки з якою-небудь державою через те, що вони досягли максимального значення."
 STOPIMPROVERELATIONSMAXOPINIONUS_HEADER: "Вісник держави"
 STOPIMPROVERELATIONSMAXOPINIONUS_1: "$RECIPIENT$"
 STOPIMPROVERELATIONSMAXOPINIONUS_2: "$MONARCHTITLE$, наші дипломати припинили"
 STOPIMPROVERELATIONSMAXOPINIONUS_3: "покращувати стосунки"
 STOPIMPROVERELATIONSMAXOPINIONUS_4: "з державою $RECIPIENT$"
 STOPIMPROVERELATIONSMAXOPINIONUS_5: " у зв'язку з досягненням максимального значення $MAX_OPINION|Y$."
 STOPIMPROVERELATIONSMAXOPINIONUS_6: "Дипломат залишиться в державі $RECIPIENT$, поки не буде відкликаний."
 STOPIMPROVERELATIONSMAXOPINIONUS_LOG: "$WHO$і дипломати припинили покращувати стосунки з державою $RECIPIENT$ у зв'язку з досягненням максимального значення."
 STOPIMPROVERELATIONSMAXOPINIONUS_BTN1: "Залишити дипломата"
 STOPIMPROVERELATIONSMAXOPINIONUS_BTN2: "Залишити дипломата"
 STOPIMPROVERELATIONSMAXOPINIONUS_BTN3: "Відкликати дипломата"
 STOPIMPROVERELATIONSMAXOPINIONUS_MAP: ""
 STOPIMPROVERELATIONSMAXOPINION_TITLE: "Припинено поліпшення стосунків"
 STOPIMPROVERELATIONSMAXOPINION_SETUP: "Одна держава припиняє покращення стосунків з іншою після досягнення максимально можливого їхнього рівня."
 STOPIMPROVERELATIONSMAXOPINION_HEADER: "Вісник держави"
 STOPIMPROVERELATIONSMAXOPINION_1: "$WHO$"
 STOPIMPROVERELATIONSMAXOPINION_2: " повідомляє, що вони припинили зусилля"
 STOPIMPROVERELATIONSMAXOPINION_3: " з покращення стосунків"
 STOPIMPROVERELATIONSMAXOPINION_4: "з державою $RECIPIENT$,"
 STOPIMPROVERELATIONSMAXOPINION_5: " тому що добилися їхнього підвищення до максимально можливого рівня: $MAX_OPINION|Y$."
 STOPIMPROVERELATIONSMAXOPINION_6: "Наслідки їхніх дій будуть зберігатися ще певний час."
 STOPIMPROVERELATIONSMAXOPINION_LOG: "Дипломати держави $WHO$ припинили зусилля з покращення стосунків з державою $RECIPIENT$, тому що добилися їхнього підвищення до максимально можливого рівня."
 STOPIMPROVERELATIONSMAXOPINION_BTN1: "Гаразд"
 STOPIMPROVERELATIONSMAXOPINION_BTN2: "Гаразд"
 STOPIMPROVERELATIONSMAXOPINION_BTN3: "Перейти"
 STOPIMPROVERELATIONSMAXOPINION_MAP: ""
 COREGAINOTHER_TITLE: "Націоналізовано провінцію"
 COREGAINOTHER_SETUP: "Одна з наших провінцій стає національною для іншої держави"
 COREGAINOTHER_HEADER: "$MESSENGER$"
 COREGAINOTHER_1: "Держава $WHO$ оголосила провінцію $PROV$"
 COREGAINOTHER_2: "частиною свого національного надбання."
 COREGAINOTHER_3: "Але вона також і наша національна провінція!"
 COREGAINOTHER_4: ""
 COREGAINOTHER_5: ""
 COREGAINOTHER_6: ""
 COREGAINOTHER_LOG: "Держава $WHO$ оголосила нашу провінцію $PROV$ частиною свого національного надбання."
 COREGAINOTHER_BTN1: "Неприємно"
 COREGAINOTHER_BTN2: "Неприємно"
 COREGAINOTHER_BTN3: "Перейти"
 COREGAINOTHER_MAP: "Національна провінція!"
 DIPLO_NO_MAINT_TITLE: "Розірвано дипломатичну угоду"
 DIPLO_NO_MAINT_SETUP: "Держава не має сил виконати дипломатичну угоду"
 DIPLO_NO_MAINT_HEADER: "Вісник держави"
 DIPLO_NO_MAINT_1: "$ACTOR$"
 DIPLO_NO_MAINT_2: " повідомляє, що вони "
 DIPLO_NO_MAINT_3: "не в силах виконати угоду:"
 DIPLO_NO_MAINT_4: "§Y$AGREEMENT$§W,"
 DIPLO_NO_MAINT_5: "укладену між державами §Y$FIRST$§W і §Y$SECOND$§W."
 DIPLO_NO_MAINT_6: " У них недостатньо дипломатичного впливу."
 DIPLO_NO_MAINT_LOG: "Угода (§Y$AGREEMENT$§W) між державами §Y$FIRST$§W і §Y$SECOND$§w розірвана."
 DIPLO_NO_MAINT_BTN1: "Гаразд"
 DIPLO_NO_MAINT_BTN2: "Гаразд"
 DIPLO_NO_MAINT_BTN3: "Перейти"
 DIPLO_NO_MAINT_MAP: ""
 WEGIFT_TITLE: "Надіслано подарунок"
 WEGIFT_SETUP: "Ми відправляємо підношення"
 WEGIFT_HEADER: "$MESSENGER$"
 WEGIFT_1: "Відправлене підношення!"
 WEGIFT_2: "$MONARCHTITLE$, наше щедре підношення в розмірі"
 WEGIFT_3: "$VALUE$¤,"
 WEGIFT_4: "відправлене державі"
 WEGIFT_5: "$RECIPIENT$,"
 WEGIFT_6: "було гідно оцінено."
 WEGIFT_LOG: "Ми відправили підношення державі $RECIPIENT$."
 WEGIFT_BTN1: "Гаразд"
 WEGIFT_BTN2: "Гаразд"
 WEGIFT_BTN3: "Перейти"
 WEGIFT_MAP: ""
 GIFTTOUS_TITLE: "Отримано подарунок"
 GIFTTOUS_SETUP: "Ми отримуємо підношення"
 GIFTTOUS_HEADER: "Наш канцлер повідомляє:"
 GIFTTOUS_1: "Підношення!"
 GIFTTOUS_2: "$MONARCHTITLE$, ми отримали по-справжньому щедре підношення в розмірі"
 GIFTTOUS_3: "$VALUE$¤"
 GIFTTOUS_4: " від наших друзів з держави"
 GIFTTOUS_5: "$ACTOR$."
 GIFTTOUS_6: ""
 GIFTTOUS_LOG: "Ми отримали підношення від держави $ACTOR$."
 GIFTTOUS_BTN1: "Гаразд"
 GIFTTOUS_BTN2: "Гаразд"
 GIFTTOUS_BTN3: "Перейти"
 GIFTTOUS_MAP: ""
 GIFTTOOTHER_TITLE: "Надіслано подарунок"
 GIFTTOOTHER_SETUP: "Одна держава отримує підношення від іншої"
 GIFTTOOTHER_HEADER: "Вісник держави"
 GIFTTOOTHER_1: "$ACTOR$"
 GIFTTOOTHER_2: " повідомляє, що вони відправили"
 GIFTTOOTHER_3: "підношення "
 GIFTTOOTHER_4: "у розмірі $VALUE$¤ державі"
 GIFTTOOTHER_5: "$RECIPIENT$."
 GIFTTOOTHER_6: "Здається, їхня безкорислива шляхетність взагалі не знає меж."
 GIFTTOOTHER_LOG: "Держава $RECIPIENT$ отримала підношення від держави $ACTOR$."
 GIFTTOOTHER_BTN1: "Гаразд"
 GIFTTOOTHER_BTN2: "Гаразд"
 GIFTTOOTHER_BTN3: "Перейти"
 GIFTTOOTHER_MAP: ""
 LEAVECOALITION_TITLE: "Залишили коаліцію"
 LEAVECOALITION_SETUP: "Ми залишаємо військову коаліцію"
 LEAVECOALITION_HEADER: "$MESSENGER$"
 LEAVECOALITION_1: "Ми покинули військову коаліцію"
 LEAVECOALITION_2: "$MONARCHTITLE$, ми покинули військову коаліцію"
 LEAVECOALITION_3: " проти держави $RECIPIENT$."
 LEAVECOALITION_4: " Наодинці ми сильніші!"
 LEAVECOALITION_5: ""
 LEAVECOALITION_6: ""
 LEAVECOALITION_LOG: "Ми вийшли з військової коаліції проти держави $RECIPIENT$."
 LEAVECOALITION_BTN1: "Гаразд"
 LEAVECOALITION_BTN2: "Гаразд"
 LEAVECOALITION_BTN3: "Перейти"
 LEAVECOALITION_MAP: ""
 FORMCOALITIONACCEPT_TITLE: "Увійшли у коаліцію"
 FORMCOALITIONACCEPT_SETUP: "Ми входимо у військову коаліцію проти іншої держави"
 FORMCOALITIONACCEPT_HEADER: "$MESSENGER$"
 FORMCOALITIONACCEPT_1: "Ми входимо у військову коаліцію"
 FORMCOALITIONACCEPT_2: "$MONARCHTITLE$, ми увійшли у військову коаліцію"
 FORMCOALITIONACCEPT_3: " проти держави $RECIPIENT$."
 FORMCOALITIONACCEPT_4: "Разом ми знищимо спільного ворога!"
 FORMCOALITIONACCEPT_5: ""
 FORMCOALITIONACCEPT_6: ""
 FORMCOALITIONACCEPT_LOG: "Ми увійшли у військову коаліцію проти держави $RECIPIENT$."
 FORMCOALITIONACCEPT_BTN1: "Чудово!"
 FORMCOALITIONACCEPT_BTN2: "Чудово!"
 FORMCOALITIONACCEPT_BTN3: "Перейти"
 FORMCOALITIONACCEPT_MAP: ""
 FORMCOALITIONWEACCEPT_TITLE: "Увійшли у коаліцію"
 FORMCOALITIONWEACCEPT_SETUP: "Держава долучається до військової коаліції проти нас"
 FORMCOALITIONWEACCEPT_HEADER: "Наш канцлер повідомляє:"
 FORMCOALITIONWEACCEPT_1: "Військова коаліція!"
 FORMCOALITIONWEACCEPT_2: "$MONARCHTITLE$, держава $ACTOR$ долучається до військової коаліції"
 FORMCOALITIONWEACCEPT_3: " проти нас!"
 FORMCOALITIONWEACCEPT_4: "Вони даремно вважають, що перевага в чисельності зможе їх врятувати…"
 FORMCOALITIONWEACCEPT_5: ""
 FORMCOALITIONWEACCEPT_6: ""
 FORMCOALITIONWEACCEPT_LOG: "Держава $ACTOR$ долучилася до військової коаліції проти нас."
 FORMCOALITIONWEACCEPT_BTN1: "Тривожно"
 FORMCOALITIONWEACCEPT_BTN2: "Тривожно"
 FORMCOALITIONWEACCEPT_BTN3: "Перейти"
 FORMCOALITIONWEACCEPT_MAP: ""
 FORMCOALITIONINVACCEPTOTHER_TITLE: "Увійшли у коаліцію"
 FORMCOALITIONINVACCEPTOTHER_SETUP: "Держава входить у військову коаліцію"
 FORMCOALITIONINVACCEPTOTHER_HEADER: "Вісник держави"
 FORMCOALITIONINVACCEPTOTHER_1: "$ACTOR$"
 FORMCOALITIONINVACCEPTOTHER_2: " повідомляє, що вони увійшли"
 FORMCOALITIONINVACCEPTOTHER_3: "у військову коаліцію"
 FORMCOALITIONINVACCEPTOTHER_4: " проти держави $RECIPIENT$"
 FORMCOALITIONINVACCEPTOTHER_5: ""
 FORMCOALITIONINVACCEPTOTHER_6: ""
 FORMCOALITIONINVACCEPTOTHER_LOG: "Держава $ACTOR$ увійшла у військову коаліцію проти держави $RECIPIENT$"
 FORMCOALITIONINVACCEPTOTHER_BTN1: "Гаразд"
 FORMCOALITIONINVACCEPTOTHER_BTN2: "Гаразд"
 FORMCOALITIONINVACCEPTOTHER_BTN3: "Перейти"
 FORMCOALITIONINVACCEPTOTHER_MAP: ""
 LEAVECOALITIONOTHER_TITLE: "Вийшли з коаліції"
 LEAVECOALITIONOTHER_SETUP: "Держава залишає військову коаліцію"
 LEAVECOALITIONOTHER_HEADER: "Вісник держави"
 LEAVECOALITIONOTHER_1: "$ACTOR$"
 LEAVECOALITIONOTHER_2: " повідомляє, що вони покинули"
 LEAVECOALITIONOTHER_3: "військову коаліцію"
 LEAVECOALITIONOTHER_4: " проти держави $RECIPIENT$"
 LEAVECOALITIONOTHER_5: ""
 LEAVECOALITIONOTHER_6: ""
 LEAVECOALITIONOTHER_LOG: "Держава $ACTOR$ покинула військову коаліцію проти держави $RECIPIENT$"
 LEAVECOALITIONOTHER_BTN1: "Гаразд"
 LEAVECOALITIONOTHER_BTN2: "Гаразд"
 LEAVECOALITIONOTHER_BTN3: "Перейти"
 LEAVECOALITIONOTHER_MAP: ""
 LEAVECOALITIONWEACCEPT_TITLE: "Вийшли з коаліції"
 LEAVECOALITIONWEACCEPT_SETUP: "Одна держава залишає військову коаліцію проти нас"
