l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 epi_metropolis_of_knowledge_desc:0 "Ioannina, known since Byzantine times as the Metropolis of Knowledge, is developing into a center of the burgeoning Greek Enlightenment, where Western thought and ideas are beginning to enter our lexicon. As we have always been the gateway between Greece and the West, we should embrace this trend."
 epi_trade_influences:0 "Entrepôt of the Adriatic"
 epi_trade_influences_desc:0 "With our nation on the border of many great trade regions of Venice, Ragusa, Constantinople and Alexandria, we have seen ourselves become a bustling hub of commerce, and a melting pot for many cultures. We can use this to our advantage."
 epi_unity_in_strength:0 "Unity in Strength"
 epi_unity_in_strength_desc:0 "Our Greek fighting heritage is our strength. Taking what we have learned over the years from the Greeks, Romans, Byzantines and Crusaders, we have some of the best drilled armies in Europa."
 LOT_ideas:0 "Лотарінгські ідеї"
 LOT_ideas_start:0 "Лотарінгські традиції"
 LOT_ideas_bonus:0 "Лотарінгські амбіції"
 lot_legacy_of_the_carolingians:0 "Legacy of the Carolingians"
 lot_legacy_of_the_carolingians_desc:0 "As the new claimants to the Lotharingian crown, we draw our legitimacy by appealing to the legacy of Charlemagne and Lothair. Under our patronage, the exploits of our ancestors have once again become common knowledge, both among our own people and throughout the courts of Europe."
 lot_glory_of_charlemagne:0 "Glory of Charlemagne"
 lot_glory_of_charlemagne_desc:0 "The glorious exploits of Lotharingia's leaders from Charlemagne and Lothair to Philip the Good is written into the memory of our people - and our soldiers. Under our leadership, they will suffer any hardship in our quest to recreate the glories of our past."
 lot_dutch_cities:0 "Wealth of the Low Countries"
 lot_dutch_cities_desc:0 "The cities of the Netherlands have accumulated tremendous wealth from trade. As their benevolent masters, we must encourage their growth and help them build a trading empire that we can tap for our own advantage."
 lot_carolingian_renaissance_II:0 "New Carolingian Renaissance"
 lot_carolingian_renaissance_II_desc:0 "Centuries ago, the unity that the Carolingian Empire provided and the educational reforms of its leaders brought about a revival of knowledge that had been lost in the preceding Dark Ages. By emulating their policies, we too can encourage the spread of new ideas and technologies that will benefit our nation."
 lot_court_of_europe:0 "The Court of Europe"
 lot_court_of_europe_desc:0 "Our court is among the most illustrious of all Europe. Truly, the wisest, bravest and fairest do flock to join our fine establishment."
 lot_land_of_abbeys:0 "Land of Bishops"
 lot_land_of_abbeys_desc:0 "In our expansion to reconstitute Lotharingia, we absorbed many bishoprics into our empire. Although their power is much reduced now that they are no longer self-governing polities, they maintain significant influence over church matters. By ensuring that they remain loyal to us, we can maintain a significant voice in clerical affairs."
 lot_european_empire:0 "Europa Universalis Imperii"
 lot_european_empire_desc:0 "Charlemagne briefly united much of Europe under his sway. Our destiny is to complete what he started and restore the unity last seen in the days of Rome to Europe."
 FKN_ideas:0 "Франконські ідеї"
 FKN_ideas_start:0 "Франконські традиції"
 FKN_ideas_bonus:0 "Франконські амбіції"
 fkn_duchy_restored:0 "The Duchy Restored"
 fkn_duchy_restored_desc:0 "After a lapse of several centuries, we have restored the Duchy of Franconia under us. There are none who can now doubt our status as one of the foremost powers of Germany."
 fkn_main_trading:0 "Trading on the Main"
 fkn_main_trading_desc:0 "The trade route from Vienna to Nuremberg and onwards down the Main to Wurzburg and Frankfurt is among the busiest in Germany. The merchants that travel it provide the life blood of our cities, where our people drive a hard bargain to make a living from commerce."
 fkn_rugged_land_of_fortresses:0 "A Rugged Land of Fortresses"
 fkn_rugged_land_of_fortresses_desc:0 "The hinterlands of Franconia are a hilly, rural terrain that is easily defendable - especially since many fortresses, not least the impressive Plassenburg in Kulmbach, have been built to defend key locations. Any would-be attackers will have their work cut out taking territory from us!"
 fkn_free_knights_of_franconia:0 "Free Imperial Knights of Franconia"
 fkn_free_knights_of_franconia_desc:0 "There are a large number of Free Imperial Knights who call Franconia their home. We can draw upon them to lead our cavalry into battle!"
 fkn_baroque:0 "A Baroque Duchy"
 fkn_baroque_desc:0 "Our neighbors on all sides compete to build the most impressive palaces, commission the most beautiful artwork and be home to the most prestigious universities. We must be no different. With the resources of all of Franconia at our disposal, we shall ensure that our court is unequalled in Germany."
 fkn_franconian_bourgeoisie:0 "Franconian Bourgeoisie"
 fkn_franconian_bourgeoisie_desc:0 "Our land has produced many artists, philosophers, composers and inventors. With our sizeable intelligentsia to draw upon, we will never be short of well-informed advisors and specialists for our projects, and the wealth of our land will surely grow rapidly."
 SOR_ideas:0 "Лужицькі ідеї"
 SOR_ideas_start:0 "Лужицькі традиції"
 SOR_ideas_bonus:0 "Лужицькі амбіції"
 sor_zittau_mountains:0 "Zittau Mountains"
