l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 fort_breaker_desc:0 "Фортифікаційні споруди є прокляттям будь-якої експансіоністської держави. Навіть якщо це забере життя всіх наших людей, жодна фортеця не встане між нами та нашою перемогою.\n"Ворушіться! Штурмуйте цю фортецю і завоюйте її для свого генерала!""
 glory_on_the_battlefield:0 ""Жага слави"
 glory_on_the_battlefield_desc:0 "Більшість сучасних воєн виграються шляхом утримання облог і окупації ворожої території. Ми не робимо ні того, ні іншого! Ми шукаємо наших ворогів на полі бою і перемагаємо їх у бою!"
 defensive_ideas:0 "Оборонні ідеї"
 defensive_ideas_bonus:0 "Досконала оборона"
 engineer_corps:0 "Інженерні корпуси"
 engineer_corps_desc:0 "Дозволяє нам об'єднати кращих військових мислителів, що працюють на благо нашої держави й скористатися їхніми геніальними ідеями."
 military_drill:0 "Муштра"
 military_drill_desc:0 "Дозволяє нам вкласти кошти у вишкіл, тим самим поліпшивши бойові порядки, навички поводження зі зброєю й підвищити бойовий дух нашої армії."
 regimental_system:0 "Система організації полків"
 regimental_system_desc:0 "Нова система організації армії, заснована на складанні полків, прив'язаних до певного регіону нашої країни дозволить поширити армійські ідеї серед суспільства. Завдяки цьому, коли нам будуть потрібні нові рекрути для наших військ, поповнення загонів відбуватиметься швидше."
 defensive_mentality:0 "Оборонне мислення"
