l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 take_capital_force_tributary:0 "Заволодіти столицею"
 take_capital_force_tributary_desc:0 "Мета війни - заволодіти столицею."
 SUBJECT_EFFECTS_TOOLTIP:0 "І такі ефекти для держав, які є $SUBJECTTYPE|Y$:"
 MAPMODE_GREAT_PROJECTS:0 "Великі проєкти"
 MAPMODE_GREAT_PROJECTS_DESC:0 "Показує, де розташовані великі проєкти. Чим яскравіше зелений, тим пишніше Великий проєкт (проєкти) у цьому місці."
 MAPMODE_GREAT_PROJECTS_TT:0 "У провінції $PROVINCE|Y$ розташовано такі великі проекти:"
 MAPMODE_GREAT_PROJECTS_TT_ENTRY:0 "$GREATPROJECT|Y$: $TIERDESC$"
 MAPMODE_GREAT_PROJECTS_TT_NONE:0 "У провінції $PROVINCE|Y$ нема великих проектів."
 GREAT_PROJECT_DESTROYED:0 "Зруйновано $DATE$"
 MAY_DRILL:0 "Можна муштрувати армії"
 MAY_DRILL_SHORT:0 "Можна муштрувати"
 EStopMissionReason_TechDoesntAllowIt:0 "У вас нема необхідної технології."
 COASTAL_SEA_DESC:0 "Це узбережжя, тут галери будуть трохи ефективніше, завдаючи на 50% більше шкоди в бою проти інших кораблів, які не є галерами."
 MAPMODE_RELIGIOUS_LEAGUES:0 "Релігійні ліги"
 MAPMODE_RELIGIOUS_LEAGUES_DESC:0 "Показує, до якої релігійної ліги належать країни. Зелені країни належать до релігійної ліги СРІ, а блакитні - до єретичної."
 LEAGUE_MEMBER_DESC:0 "Держава $COUNTRY|Y$ входить до релігійної ліги СРІ"
 federation_cohesion_maxed_out_instant:0 "§YЗгуртованість федерації досягла максимального значення.§!"
 federation_cohesion_maxed_out_delayed:0 "Клацніть, щоб переглянути свою федерацію і можливі покращення."
 PEACEOFFER_TRADING_CITIES_CANNOT_TAKE_PROVINCES:0 "Торгові міста не можуть захоплювати провінції."
 PEACEOFFER_TRADING_CITIES_CANNOT_HAVE_SUBJECTS:0 "Торгові міста не можуть мати суб'єктів."
 FREE_POLICY_EXPLANATION:0 "Ця політика буде доступна безкоштовно."
 TUT_ADV_CHAPTER01_PAGE04a_TITLE:0 "Корупція"
 TUT_ADV_CHAPTER01_PAGE04a_TEXT:0 "Корупція - це рівень корупції у вашій країні. Корупція пов'язана з §Mзаворушеннями§!, §Mстворенням шпигунської мережі§!, §Mвартістю балів§! та іншим.\n\nКорупція з часом зростає через §Mнезбалансованість досліджень§!, §Mнадрозширення§! та відсутність §Mрелігійної єдності§!. Її можна зменшити шляхом високої §Mстабільності§! та випередження в §Mадміністративній§! чи §Mдипломатичній§! технологіях.\n"
 TUT_ADV_CHAPTER01_PAGE04a_OBJECTIVES:0 "Клацніть §MДалі§!, щоб продовжити."
 PERPETUAL_DIET_LOCATION:0 "Місцезнаходження постійного рейхстагу"
 MODIFIER_YEARLY_DOOM_REDUCTION:0 "Щорічне зниження приреченості"
 REFUSED_REGENCY:0 "Відмовлено в регенстві"
 REFUSED_PRIVILEGE:0 "Відмовлено у привілеях"
 REGENCY_SLUR:0 "Невизначеність поточного регентства"
 native_seasonal_travel_reform_warning:0 "§RУсі осілі провінції, окрім столиці, перетворяться на племінні землі, і тоді вашій столиці буде дозволено мігрувати.§!"
 ND_CONFIRM_HISTORICAL_NATIONS_DESC:0 "Зміна налаштувань на історичні призведе до видалення створених вами користувацьких держав.\n Ви впевнені, що хочете це зробити?"
 ND_CONFIRM_HISTORICAL_NATIONS_MP_DESC:0 "Зміна налаштувань на історичні видалить всі користувацькі держави, розроблені гравцями.\n Ви впевнені, що хочете це зробити?"
 FILTER_WAR_ALLIES:0 "Військові союзники"
 FILTER_WAR_ALLIES_DESC:0 "Показати себе та союзні держави, що беруть участь у війні на нашому боці."
 hostile_siege_instant:0 "§YВороги облягають наші провінції!§!"
 hostile_siege_delayed:0 "У $LIST$"
 SAME_RELIGION_AS_OPPOSITION:0 "Не воюватимемо проти їхніх братів за вірою: "
 SAME_RELIGIOUS_GROUP_AS_OPPOSITION:0 "Не воюватимемо разом з поганами проти єретиків: "
 CANNOT_ENFORCEPEACE_OWN_OVERLORD:0 "Ви не можете примусити до миру свого володаря."
 DOESNT_USE_ISOLATIONISM:0 "Держава $COUNTRY|Y$ не використовує ізоляціонізм"
 HAVE_LOANS:0 "Є невиплачені позики."
 OTHERCONVERT_SECONDARY_REMOVED_TITLE:0 "Зміна вторинної релігії"
 OTHERCONVERT_SECONDARY_REMOVED_SETUP:0 "Коли інша держава обирає нову вторинну релігію."
 OTHERCONVERT_SECONDARY_REMOVED_HEADER:0 "Синкретичну віру видалено"
 OTHERCONVERT_SECONDARY_REMOVED_1:0 "Держава $COUNTRY$"
 OTHERCONVERT_SECONDARY_REMOVED_2:0 "вирішила позбутися синкретичної віри."
 OTHERCONVERT_SECONDARY_REMOVED_3:0 "$REACTION$"
 OTHERCONVERT_SECONDARY_REMOVED_LOG:0 "Держава $COUNTRY$ вирішила позбутися синкретичної віри."
 OTHERCONVERT_SECONDARY_REMOVED_BTN1:0 "Гаразд"
 OTHERCONVERT_SECONDARY_REMOVED_BTN2:0 "Гаразд"
 OTHERCONVERT_SECONDARY_REMOVED_BTN3:0 "Перейти"
 forced_rival_into_union:0 "Примусили державу $TARGET$ до унії"
 CANNOT_KNOWLEDGE_SHARE_ISATWAR:0 "Ви не можете розповсюджувати знання в країні, з якою ви воюєте."
 CANNOT_MIGRATE_NON_TRIBAL_LAND_COOLDOWN:0 "Не можна знову мігрувати в неналежні вам племінні землі до $DATE|Y$"
 ACTIVE_REBELSIZE:0 "Число повстанців, які б'ються проти нас: $SIZE|Y$."
 IS_TRIBAL_LAND_OF:0 "Племінна земля племені $COUNTRY|Y$"
 IS_NOT_TRIBAL_LAND_OF:0 "НЕ племінна земля племені $COUNTRY|Y$"
 IS_NOT_TRIBAL_LAND:0 "Не племінна земля"
 IS_SOMEONES_TRIBAL_LAND:0 "Племінна земля, що належить якомусь племені"
 RULING_NOBILITY:0 "Знать при владі"
 CANCEL_CARPET_SIEGING_MULTIPLE_CONFIRM_DESC:1 "Ви намагаєтесь віддати наказ військам, зайнятим §Yавтоматичною облогою§!.\nВи впевнені?"
 UNKNOWN_OUTCOME_REGENCY_IN_CHARGE:0 "Неможливо, оскільки при владі регентство"
 MONARCH_NAME_CRISTOBAL:0 "Крістобаль #0"
 MONARCH_NAME_SIMON:0 "Симон #0"
 MONARCH_NAME_SIMEO:0 "Симеон #0"
 MONARCH_NAME_GASTO:0 "Гастон #0"
 MONARCH_NAME_GOMEZ:0 "Гомес #0"
 MONARCH_NAME_ODON:0 "Одон #0"
 MONARCH_NAME_RAMON:0 "Рамон #0"
 MONARCH_NAME_ANTONIO:0 "Антоніо #0"
 MONARCH_NAME_AMBROS:0 "Амброзій #0"
 MONARCH_NAME_HIPOLITO:0 "Іполит #0"
 MONARCH_NAME_TEOFILO:0 "Теофіл #0"
 MONARCH_NAME_COCIJOPI_JZIO:0 "Cocijopi Jzió #0"
 MONARCH_NAME_GWEIBOONE:0 "Gwèibóoné #0"
 MONARCH_NAME_JI_JZIO:0 "Джі Джзіо #0"
 MONARCH_NAME_JZIO:0 "Джзіо #0"
 MONARCH_NAME_LAXDAOXO:0 "Láxdaóxo #0"
 MONARCH_NAME_PIJJE_JZIO:0 "Pijje Jzió #0"
 MONARCH_NAME_BRONACH:0 "Бронах #0"
 MONARCH_NAME_RORDAN:0 "Рордан #0"
 MONARCH_NAME_LASZLO:0 "Ласло #4"
 MONARCH_NAME_ULASZLO:0 "Уласло #1"
 MONARCH_NAME_JOZSEF:0 "Джозеф #0"
 MONARCH_NAME_MIKLOS:0 "Миклош #0"
 MONARCH_NAME_OTTO:0 "Отто #0"
 MONARCH_NAME_JON:0 "Джон #0"
 MONARCH_NAME_GEAROID:0 "Геройд #0"
 MONARCH_NAME_AMBROSIO:0 "Амброзіо #0"
 MONARCH_NAME_GEAROID_1:0 "Геройд #1"
 MONARCH_NAME_ONORA:0 "Онора #0"
 MONARCH_NAME_GASTON:0 "Гастон #0"
 MONARCH_NAME_TEODOSIO:0 "Теодосіо #0"
 MONARCH_NAME_ANTONIO_FRANCISCO:0 "Антоніо #0 Франциско"
 MONARCH_NAME_ARARIBOIA:0 "Арарібоя #0"
 MONARCH_NAME_KRISZTOF:0 "Криштоф #0"
 NAME_CRISTOBAL:0 "Крістобаль"
 GALLEY_BONUS_COASTAL_SEA_DESC:0 "Галери завдають на $VAL|%=+1$ більше шкоди проти не-галер у прибережних морях."
 NOT_ANY_ANY_PROVINCE_STARTS:0 "Нема провінцій"
 RESCIND_UPGRADE_SUBJECT_TYPE_SPECIFIC_DESC:0 "Відміна покращення стосунків з суб'єктом $SUBJECTTYPEUPGRADE$.\nЦе коштуватиме §Y$COST$§W¤."
 RESCIND_UPGRADE_SUBJECT_TYPE_EFFECT:0 "Покращення було видалено:\n$SUBJECTTYPEUPGRADE$."
 RESCIND_UPGRADE_SUBJECT_TYPE_NAME:0 "Скасувати покращення стосунків $SUBJECTTYPEUPGRADE$"
 GALLEY_BONUS_NOT_INLAND_SEA_NO_MALUS_DESC:0 "Тут галери не отримають бонус до шкоди, тому що це НЕ внутрішнє або прибережне море."
 CONCENTRATE_DEVELOPMENT_TAKE:0 "$DEV$ розвитку буде забрано з області $STATE|Y$. Він перейде в $ADM$£adm, $DIP$£dip і $MIL$£mil, які будуть витрачені на підвищення розвитку у столиці."
 CONCENTRATE_DEVELOPMENT_DISTRIBUTION:0 "Розвиток у столиці підвищиться на $ADM$, $DIP$, $MIL$."
 CONCENTRATE_DEVELOPMENT_CONSEQUENCES:1 "Це підвищить бажання свободи держави $COUNTRY|Y$ на $LIBERTYDESIRE$, змінить їхню думку про нас на $OPINION$, а також призведе до підвищення спустошення в провінціях, розвиток яких було зменшено."
 AGGRESSIVE_EXPANSION_REFORM_PREVENTS:0 "Реформу $REFORM$ проведено"
 GETEILTE_MACHT_EFFECT:0 "Члени СРІ більше не будуть отримувати агресивне розширення проти Імператора, якщо Імператор захоплює провінції, які не входять до складу СРІ"
 BLOCKADE_FROM:0 "Від кораблів типу $SHIPTYPE|Y$: $BLOCKADEPOWER|Y$"
 BLOCKADE_DIVISOR:0 "Усе це ділиться на $DIVISOR$, після чого розраховується загальна потужність блокади."
 REQUIRED_TECH_FOR_DRILLING:0 "Потрібен 3 рівень військових технологій."
 sitting_in_my_tribal_land_opinion:0 "Осіли на наших племінних землях"
 sitting_in_my_friends_tribal_land_opinion:0 "Осіли на племінних землях наших друзів по федерації"
 MIGRATE_GOT_TOO_MANY_PROVINCES:0 "Не можна мігрувати з більш ніж однією провінцією."
 just_lost_to_rebels:0 "Перемога повстанців"
 desc_just_lost_to_rebels:0 "Повстанці перемогли і зуміли домогтися своїх вимог!"
 NAME_ANDRE_HERCULE_DE_FLEURY:0 "André Hercule de Fleury"
 FABRICATECLAIMDESC_ISCLAIM:0 "Ми вже маємо претензію на провінцію $PROVINCE|Y$."
 FABRICATECLAIMDESC_ISCORE:0 "Провінція $PROVINCE|Y$ вже є національною."
 ALLOWATTACH:0 "§YДозволити приєднання§!"
 UNIT_ATTACH_DESC:0 "Утримуйте §YShift§!, щоб приєднатися до будь-якого доступного підрозділу в тій самій провінції".
 UNIT_BURN_COLONY_DESC:0 "Спалити цю колонію за §Y$COST$§W£mil "
 BURN_COLONY:0 "§YСпалити колонію§!"
 ANNEX_NATION_NO_PROGRESS:0 "Наразі процес приєднання зупинено ($REASON$), але процес може відновитись в майбутньому, якщо відбудуться відповідні зміни."
 LOAN_REPAYMENT_GENERIC_TARGET:0 "Наші кредитори"
 SET_DEFENDER_OF_THE_FAITH_EFFECT:0 "Держава $COUNTRY|Y$ стає захисником віри $RELIGION|Y$"
 REMOVE_DEFENDER_OF_THE_FAITH_EFFECT:0 "Держава $COUNTRY|Y$ більше не є захисником віри $RELIGION|Y$"
 BUILD_GREAT_PROJECT_EFFECT:0 "Будує великий проект $NAME|Y$."
 DESTROY_GREAT_PROJECT:0 "Руйнує великий проект $NAME|Y$."
 MOVE_GREAT_PROJECT_INSTANTLY:0 "$TYPE$ $NAME|Y$ переміщається до провінціїo $PROVINCE|Y$."
 MODIFIER_GLOBAL_MONTHLY_DEVASTATION:0 "Глобальна щомісячна розруха"
 MODIFIER_GLOBAL_PROPSPERITY_GROWTH:0 "Загальне зростання благополуччя"
 MODIFIER_LOCAL_PROPSPERITY_GROWTH:0 "Місцеве зростання благополуччя"
 MODIFIER_MONTHLY_FAVOR_MODIFIER:0 "Щомісячне зростання прихильності"
 ADD_FAVORS_EFFECT:0 "Держава $WHOWITH|Y$ винна на $AMOUNT|Y$ більше прихильності державі $WHOFOR|Y$"
 ADD_FAVORS_EFFECT_NEG:0 "Держава $WHOWITH|Y$ винна на $AMOUNT|Y$ менше прихильності державі $WHOFOR|Y$"
 WAR_LOSSES_TRIGGER:0 "Втрати підрозділів типу $UNITTYPE$ держави $COUNTRY|Y$ через $CAUSE$ становлять щонайменше $AMOUNT|Y$"
 WAR_LOSSES_TRIGGER_NEG:0 "Втрати підрозділів типу $UNITTYPE$ держави $COUNTRY|Y$ через $CAUSE$ становлять менше $AMOUNT|Y$"
 WAR_LOSSES_AGAINST_TRIGGER:0 "Втрати підрозділів типу $UNITTYPE$ держави $COUNTRY|Y$ через $CAUSE$ проти держави $WHOWITH|Y$ становлять щонайменше $AMOUNT|Y$"
 WAR_LOSSES_AGAINST_TRIGGER_NEG:0 "Втрати підрозділів типу $UNITTYPE$ держави $COUNTRY|Y$ через $CAUSE$ проти держави $WHOWITH|Y$ становлять менше $AMOUNT|Y$"
 UNITTYPE_LAND:0 "Полки"
 UNITTYPE_SEA:0 "Корабель"
 CAUSE_BATTLE:0 "в бою"
 CAUSE_ATTRITION:0 "виснаження"
 CAUSE_CAPTURE:0 "(захоплені)"
 CULTURE_GROUP_UNION_TRIGGER:0 "Є союз культурних груп"
 CULTURE_GROUP_UNION_TRIGGER_NOT:0 "Нема союзу культурних груп"
 ENCLAVE_NAME_FORMAT:0 "$ADJECTIVE$ $AREANAME$"
 SUBJECT_COUNTRY_STARTS_NEG:0 "Нема держав-суб'єктів"
 DEFINE_QUEEN_EFFECT_DYN:0 "$CONSORT$ з родини $NAME$ family$SKILLS$$CULTURE$$RELIGION$ прибуває до двору.\n"
 MACRO_REQUIREMENT_NOT_FULFILLED_FOR_SUBJECT:0 "Умови для покращення $SUBJECTTYPEUPGRADE$ не дотримано."
 ALREADY_HAS_SUBJECTTYPEUPGRADE:0 "$COUNTRY|Y$: вже є покращення $SUBJECTTYPEUPGRADE$"
 BANKRUPTCY_IMMINENT:0 "Ми очікуємо неминучого банкрутства"
 ICON_TRADEFAVORSFORTRUST:0 "Пропозиція обміняти §Yприхильність§! на §Yдовіру§!"
 ICON_TRADEFAVORSFORMEN:0 "Пропозиція обміняти §Yприхильність§! на §Yрекрутів§!"
 ICON_TRADEFAVORSFORSAILORS:0 "Пропозиція обміняти §Yприхильність§! на §Yморяків§!"
 ICON_TRADEFAVORSFORHEIR:0 "Пропозиція обміняти §Yприхильність§! на призначення §Yспадкоємця§! з їхньої династії"
 ICON_TRADEFAVORSFORWARPREP:0 "Пропозиція обміняти §Yприхильність§! на підготовку до війни"
 ICON_TRADEFAVORSFORBREAKALLIANCE:0 "Пропозиція обміняти §Yприхильність§! на розрив §Yсоюзу§!"
 ICON_TRADEFAVORSFORRETURNCORE:0 "Пропозиція обміняти §Yприхильність§! на повернення §Yнаціональної провінції§!"
 ICON_TRADEFAVORSFORREDUCERELATIONS:0 "Пропозиція обміняти §Yприхильність§! на погіршення §Yдумки§! про іншу державу"
 ICON_TRADEFAVORSFORGOLD:0 "Пропозиція обміняти §Yприхильність§! на §Yдукати§!"
 subject_of_rivals:0 "Підкорені колишнім суперником"
 JUSTIFY_TRADE_CONFLICT_NO_MERCAHNTS:0 "Щоб мати змогу виправдати торговий конфлікт, ви повинні мати декількох торговців, які працюють у будь-яких торгових вузлах."
 CANNOT_UPGRADE_RANK_JUNIOR_PARTNER:0 "Молодші партнери в особистих уніях не можуть підвищити свій урядовий ранг вище рівня старших партнерів."
 PILLAGE_CAPITAL_STATE_NO_BENEFIT:0 "Ви нічого не отримаєте, тому що розвитку тут недостатньо для того, щоб награбоване можна було використати для підвищення розвитку у вашій столиці. Проте, якщо хочете, ви все ще можете розграбувати столицю супротивника, щоб завдати йому шкоди."
 NAME_CRISTOBAL_COLON:0 "Cristóbal Colón"
 colonysize_is_larger_than_nativesize_tt:0 "Колоністів більше, ніж тубільців"
 DIPLO_SELLPROV_NOT_UPSTREAM:0 "Держава $WHO$ не має головного торгового порту за течією від провінції $PROV$: "
 DIPLO_FREE_CITY:0 "$WHO$ - вільне місто: "
 CHANGE_MERCHANT_MISSION:0 "Змінити завдання торговця у цьому вузлі"
 SEND_MERCHANT_TO_NODE:0 "Відправити торговця до цього вузла"
 MERCHANT_TRAVELLING_TO_NODE:0 "До цього вузла прямує торговець"
 refused_to_give_trust_for_favors:0 "Відмовилися обміняти прихильність на довіру"
 refused_to_prepare_for_war_for_favors:0 "Відмовилися підготуватися до війни в обмін на прихильність"
 refused_to_install_heir_for_favors:0 "Відмовилися призначити нашого спадкоємця в обмін на прихильність"
 refused_to_give_sailors_for_favors:0 "Відмовилися передати моряків в обмін на прихильність"
 refused_to_give_men_for_favors:0 "Відмовилися передати рекрутів в обмін на прихильність"
 refused_to_give_gold_for_favors:0 "Відмовилися передати дукати в обмін на прихильність"
 CANNOT_SUPPORT_HEIR_PERSONAL_UNION:0 "Ви не можете підтримати спадкоємця в країні, яка перебуває з вами в особистій унії."
 WARNING_TARGET_IN_INDEPENDENCE_WAR:0 "$COUNTRY|Y$ бореться за незалежність, якщо їхня війна закінчиться поразкою до завершення вашої, ваша війна автоматично завершиться."
 CONVERT_CULTURE_OPINION_HIT:0 "Це погіршить думку держав з тією самою культурою на $VAL|R$ ($LIST$)."
 REVOLT_RISK:0 "Поточний ризик повстання: $VAL|%Y$"
 HRE_VOTE_NOT_SAME_RELIGIOUS_GROUP:0 "Держава $COUNTRY|Y$ не сповідає $RELIGIOUSGROUP|Y$."
 HRE_VOTE_INELIGIBLE_REGENCY:0 "У влади в державі $COUNTRY|Y$ регент."
 HRE_VOTE_INELIGIBLE_FEMALE_RULER_NO_PRAGMATIC_SANCTION:0 "$MONARCH|Y$ - жінка, і прагматична санкція не була прийнята."
 HRE_VOTE_INELIGIBLE_NOT_EUROPEAN:0 "Держава $COUNTRY|Y$ не в Європі."
 HRE_VOTE_INELIGIBLE_TERM_ELECTION:0 "Керівництво держави $COUNTRY|Y$ обирається на певний термін за допомогою виборів."
 HRE_VOTE_INELIGIBLE_REPUBLIC:0 "Держава $COUNTRY|Y$ є республікою."
 HRE_VOTE_INELIGIBLE_DICTATORSHIP:0 "Держава $COUNTRY|Y$ є диктатурою."
 HRE_VOTE_INELIGIBLE_SUBJECT:0 "Держава $COUNTRY|Y$ є суб'єктом."
 HRE_VOTE_INELIGIBLE_REVOLUTIONARY:0 "$COUNTRY|Y$ є революційною державою."
 HRE_VOTE_INELIGIBLE_DOESNT_EXIST:0 "$COUNTRY|Y$ не існує."
 HRE_VOTE_INELIGIBLE_WRONG_RELIGION_POST_LEAGUE_WAR:0 "Держава $COUNTRY|Y$ не сповідає $RELIGION|Y$ після війни Релігійної Ліги."
 SELL_SHIPS_COOLDOWN:0 "Нещодавно ми продали кораблі і не можемо продавати їх знову до $DATE|Y$."
 MILITARIZATION_EXPLANATION:0 "Рівень мілітаризації вашої держави впливає на такі модифікатори:"
 MILITARIZATION_EXPLANATION_CURRENT:0 "Поточний рівень ($VAL|Y$), дає такі ефекти:"
 FAVORS_INSTANT_RECIPROCAL:0 "Ми винні державі $COUNTRY|Y$ $NUM|2Y$ прихильності."
 MESSAGE_SEARCH_BUTTON_TOOLTIP:0 "Пошук вказаного слова чи фрази."
 MESSAGE_CLEAR_BUTTON_TOOLTIP:0 "Очистити пошуковий текст."
 CURIA_APPOINT_CARDINAL_POPE:0 "Витратити $COST|Y$¤ зі своєї скарбниці, щоб призначити кардиналом одного зі своїх прихильників. Цей підвищить нашу корупцію на $CORRUPTION|R$."
 FAVOR_CURRY_FAVORS_MODIFIER_TT:0 "Відносна потужність армії: $VAL|+=%$"
 FAVOR_CURRY_FAVORS_TT:0 "Набуття прихильності:"
 BASE_MINE_SIZE:0 "Розмір копальні: $VAL|G$"
 MINE_EXPLANATION:0 "Потім розмір копальні множиться на обсяг виробництва, щоб отримати річний обсяг видобутку золота."
 CONFIRM_LEADER_DESC_CONSORT:0 "Ви впевнені, що хочете призначити свого консорта генералом? Це може поставити його під загрозу і коштуватиме $PRESTIGE|Y$ престижу."
 CONVERT_CONSORT_IRO:0 "§YДозволити консорту командувати військами§!\nЦе зробить вашого консорта генералом. Тоді він або вона зможе командувати вашими арміями."
 CONVERT_CONSORT_DRO:0 "Консорт, який веде армію в бою, ймовірно може загинути. Жителі вашої країни сприймуть смерть консорта в битві як недобрий знак."
 MODIFIER_MONTHLY_GOLD_INFLATION_MODIFIER:0 "Щомісячне зростання інфляції від золотовидобування"
 MODIFIER_GOLD_DEPLETION_CHANCE_MODIFIER:0 "Шанс виснаження золотовидобування"
 MODIFIER_GLOBAL_REBEL_SUPPRESSION:0 "Ефективність придушення повстанців"
 RELEASED_COUNTRIES_GUARANTEED:0 "Поки діє перемир'я, їхня незалежність буде гарантована державою $WHO$."
 RELEASED_COUNTRY_GUARANTEED:0 "Поки діє перемир'я, їхня незалежність буде гарантована державою $WHO$."
 MAX_UNREST_PROVINCE:0 "Заворушення в області $AREA$: $VAL|G$"
 TOLERANCE_EFFECTS_DESC:0 "Кожна одиниця терпимості даватиме такі ефекти:"
 INTOLERANCE_EFFECTS_DESC:0 "Кожна одиниця нетерпимості даватиме такі ефекти:"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_TITLE:0 "Інституція прибула до держави $COUNTRY$"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_SETUP:0 "Коли інституція поширюється нашою країною."
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_HEADER:0 "$INSTITUTION$ з'являється у провінції $PROVINCE$!"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_1:0 "$INSTITUTION$ з'являється у провінції $PROVINCE$."
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_2:0 "Ми повинні сприяти її зростанню"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_3:0 "і прийняти її, коли вона пошириться нашою країною."
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_LOG:0 "$INSTITUTION$ з'являється у провінції $PROVINCE$."
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_BTN1:0 "Гаразд"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_BTN2:0 "Гаразд"
 PROVINCE_FIRST_TO_EMBRACE_INSTITUTION_BTN3:0 "Перейти"
 SUBJECTS_REBEL_FACTIONS:0 "Повстанці суб'єктів"
 ARMY_WHERE:1 "$ARMY|Y$ у провінції $PROVINCE|Y$"
 ARMY_WHERE_AVOIDING_ENEMIES:0 "$ARMY|Y$ у провінції $PROVINCE|Y$: уникає зіткнення з ворожими військами у провінції $ENEMYPROVINCE|Y$"
 army_avoiding_strong_rebels_instant:0 "§YАрмії, що виконують місію, уникають зіткнень з ворожими військами!§!"
 army_avoiding_strong_rebels_delayed:0 "$LIST$"
 LEDGER_CENTRES_OF_TRADE_TITLE:0 "Торгові центри"
 LEDGER_CENTRES_OF_TRADE_LEVEL:0 "Рівень"
 LEDGER_CENTRES_OF_TRADE_TRADE_NODE:0 "Торговий вузол"
 LEDGER_CENTRES_OF_TRADE_POWER_BONUS:0 "Бонус до впливу"
 FROM_FEROCITY:0 "Від лютості: $VALUE|G$"
 PROVINCE_REBELS_SUPPRESSED:0 "Повстанців у цій провінції придушує армія $ARMY|Y$."
 SYNAGOGUE_OF:0 "Синагога: $COUNTRY$"
 SYNAGOGUE_POWER:0 "Сила віри: $POWER|Y$"
 CELEBRATE:0 "Святкування"
 SHOW_FILTERED_ASPECTS:0 "Обрати $ADMDIPMIL|Y$ $ASPECTS_LONG|Y$"
 CHURCH_POWER_COST:0 "Коштує $COST|Y0$ сили віри.\n"
 CHURCH_POWER_NOT_ENOUGH:0 "§RВам потрібно принаймні $COST|Y0$ сили віри, щоб виконати цю дію.§!"
 OriginsDLC:0 "Origins"
 COUNTRY_CANNOT_EMBRACE_REVOLUTION_IS_COLONY:0 "Колонії не можуть прийняти революцію."
 FEDERATION_WRONG_CULTURE:0 "Культура держави $WHO$ не $CULTURE$а: "
 CONFIRM_SELECT_TRADING_POLICY_DESC_NO_COOLDOWN:0 "\nВи впевнені, що хочете обрати політику $NAME|Y$ у торговому вузлі $NODE|Y$?\n"
 MODIFIER_LOCAL_GOLD_DEPLETION_CHANCE_MODIFIER:0 "Місцевий шанс виснаження золотовидобування"
 MODIFIER_TOLERANCE_OF_HERETICS_CAPACITY:0 "Максимальна терпимість до єретиків"
 MODIFIER_TOLERANCE_OF_HEATHENS_CAPACITY:0 "Максимальна терпимість до язичників"
 MODIFIER_MOVE_CAPITAL_COST_MODIFIER:0 "Вартість перенесення столиці"
 HAVE_LESS_REVOLUTIONARY_GUARD_THAN:0 "Число полків революційної гвардії менше $VALUE|Y$.\n"
 HAVE_AT_LEAST_REVOLUTIONARY_GUARD_THAN:0 "Число полків революційної гвардії принаймні $VALUE|Y$.\n"
 REVOLUTIONARY_GUARD_REGIMENT_TYPE:0 "Революційна гвардія"
 HAVE_LESS_INFANTRY_THAN_NUM:0 "Число піхоти менше $NUM|Y$"
 HAVE_MORE_INFANTRY_THAN_NUM:0 "Число піхоти щонайменше $NUM|Y$"
 HAVE_LESS_CAVALRY_THAN_NUM:0 "Число кавалерії менше $NUM|Y$"
 HAVE_MORE_CAVALRY_THAN_NUM:0 "Число кавалерії щонайменше $NUM|Y$"
 HAVE_LESS_ARTILLERY_THAN_NUM:0 "Число артиллерії менше $NUM|Y$"
 HAVE_MORE_ARTILLERY_THAN_NUM:0 "Число артиллерії щонайменше $NUM|Y$"
 HAVE_LESS_BIG_SHIPS_THAN_NUM:0 "Число важких кораблів менше $NUM|Y$"
 HAVE_MORE_BIG_SHIPS_THAN_NUM:0 "Число важких кораблів щонайменше $NUM|Y$"
 HAVE_LESS_LIGHT_SHIPS_THAN_NUM:0 "Число легких кораблів менше $NUM|Y$"
 HAVE_MORE_LIGHT_SHIPS_THAN_NUM:0 "Число легких кораблів щонайменше $NUM|Y$"
 HAVE_LESS_GALLEYS_SHIPS_THAN_NUM:0 "Число галерей менше $NUM|Y$"
 HAVE_MORE_GALLEYS_SHIPS_THAN_NUM:0 "Число галерей щонайменше $NUM|Y$"
 HAVE_LESS_TRANSPORTS_THAN_NUM:0 "Число транспортників менше $NUM|Y$"
 HAVE_MORE_TRANSPORTS_THAN_NUM:0 "Число транспортників щонайменше $NUM|Y$"
 FROM_GOLD:0 "Від золота: $AMOUNT|%R$"
 CAWA_NAME:0 "$NUM$$ORDER$ чава пров.$HOME$"
 MODIFIER_AMOUNT_OF_CAWA:0 "Число чава"
 MODIFIER_LOCAL_AMOUNT_OF_CAWA:0 "Число чава"
 mechanic_allow_cawa_yes:0 "Дозволяє вербувати чава"
 mechanic_allow_cawa_no:0 ""
 CAWA_CANT_HAVE:0 "Ваша країна не може наймати чава."
 CAWA_DESC:0 "Чава – феодальний клас знатних воїнів, вірних негусу нагасте, які служать миротворцями та захисниками віддалених провінцій, а також придворними чиновниками. Їх можна вербувати у власних володіннях чи у володіннях суб'єктів."
 REGCAT_cawa:0 "Чава"
 CAWA_REGIMENT:0 "Полк чава\n$EFFECT$"
