l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 tributary_events.29.d:0 "Схоже, [From.GetName] – [From.GovernmentName], що сплачує нам данину, пропонує підтримати політичні фракції при нашому дворі в обмін на допомогу в їхній війні проти нашого іншого данника, – держави [other_tributary_country.GetName]. Це зашкодило нашим відносинам з данниками, а [Root.Monarch.GetTitle] сильно обурені."
 tributary_events.29.a:0 "Варвари!"
 horde_slave_raid:0 "Набіги на кордони"
 desc_horde_slave_raid:0 "Наш повелитель орди збирав живу данину з наших прикордонних територій, завдаючи шкоди нашій економіці та перешкоджаючи росту нашого населення."
 overlord_supported_our_enemies:0 "Повелитель втрутився в нашу війну."
 HARMONIZED_RELIGION_DESC:0 "§Y$NAME$§! є гармонізованою релігією."
 HARMONIZED_RELIGION_GROUP_DESC:0 "Ми гармонізовані з релігійною групою §Y$NAME$§!."
 HARMONIZE:0 "Гармонізація"
 GROUP:0 "Група"
 harmonized_vajrayana:0 "Гармонізація з релігією ваджраяна"
